Affiliation No.,Company,Last Name,Address,State,Phone,Email,Website,Affiliated upto,Type of School,Description
1930255,Aristo Public School,Principal Jaculine Priya,"Aps Avenue, Gedilam Bye-Pass Rd, Thirupathiripuliyur ,607002",Tamil Nadu,"4142 ,236888",Pricipalaristo@apsfoundation.in,www.apsfoundation.in,3/31/2020,Senior Secondary,1930255 Affiliation No Senior Secondary
1980007,Army Public School,Principal Mr. P Chelliah,"Wellington Nilgiris Tamil Nadu ,643231",Tamil Nadu,"0423 ,2234538",armyschool@hotmail.com,,3/31/2010,Senior Secondary,1980007 Affiliation No Senior Secondary
1930269,"Army Public School, Chennai",Principal Uma Chandrasekaran,"Army Public School, 60 Feet Road, Nandambakkam, Chennai - 600 089. ,600089",Tamil Nadu,",044-22330309",armypublicschoolchennai@gmail.com,www.apschennai.in,3/31/2019,Senior Secondary,1930269 Affiliation No Senior Secondary
1931003,Arr Sl Vidyashraam School,Principal Mrs. R.Sumathy Sridharan,"No.156, A.R.R Road, Kumbakonam ,612001",Tamil Nadu,",0435-2417016",arrslvscbse@gmail.com,,3/31/2022,Secondary School,1931003 Affiliation No Secondary School
1930440,Arrs Academy,Principal T P Suresh Poduval,"Harur Main Road, Valasaiyur,Salem. ,636122",Tamil Nadu,"0427 ,2484878",principal@arrsschools.com,www.arrsschools.com,3/31/2020,Senior Secondary,1930440 Affiliation No Senior Secondary
1930202,Arsha Vidya Mandir,Principal P Nagarajan,"114 Valachery Road Guindy Chennai Tamil Nadu ,600032",Tamil Nadu,"044 ,22301177",principal@arshavidyamandir.in,www.arshavidyamandir.edu.in,3/31/2022,Senior Secondary,1930202 Affiliation No Senior Secondary
1930379,Arulmigu Meenakshi Amman Public School,Principal Radha Jothi R G,"Alapakkam Main Road, Porur Post ,600116",Tamil Nadu,"044 ,24766178",radhajothig@gmail.com,www.amapss.edu.in,3/31/2020,Secondary School,1930379 Affiliation No Secondary School
1930513,Arumugham Palaniguru Modern School,Principal Prajit P,"360/4, Nathampatti Road ,626102",Tamil Nadu,"4563 ,257744",principalapms3@gmail.com,www.apmodernschool.com,3/31/2020,Senior Secondary,1930513 Affiliation No Senior Secondary
1930795,Arya Vidhyasshram International Residential School,Principal Mrs.A.Madhavi Madhavan,"Katpadi Road, Chennarayanapalli Village, Sethuvandai Post, ,635803",Tamil Nadu,",04171 245 046",aryacbsegym@gmail.com,http://www.aryacbseschool.in,3/31/2020,Secondary School,1930795 Affiliation No Secondary School
1930002,Asan Memorial Sr Sec School,Principal Aruna Appasamy,"Cochin House 1-Anderson Road Chennai Tamil Nadu ,600006",Tamil Nadu,"044 ,28275858",arunaappasamy@gmail.com,wwwasaneducation.com,3/31/2020,Senior Secondary,1930002 Affiliation No Senior Secondary
1930159,Asian Christian High School,Principal Teresammal Robi,"Jeemangalam Village Bagalur Po Hosur Tamil Nadu ,635103",Tamil Nadu,"0434 ,4291184",teresammal.robi@acaindia.org,www.asianchristianhighschool.org,3/31/2021,Senior Secondary,1930159 Affiliation No Senior Secondary
1930451,Athena Global School,Principal Mrs.Vallikannu,"Thunisiramedu T. Neduncheri Road Veerasozhagan ,608602",Tamil Nadu,"4144 ,4144 9445261000,",principalcbse@athena.edu.in,www.athenaglobal.in,3/31/2021,Senior Secondary,1930451 Affiliation No Senior Secondary
1930799,Atlantic International School,Principal Mrs.Kavitha,"464 Veerayankottai ,614802",Tamil Nadu,",9585733726",atlanticintl.school@yahoo.in,,3/31/2020,Secondary School,1930799 Affiliation No Secondary School
1980008,Atomic Energy Central School,Principal Mr. Dr. V. Varadaraj,"Chettikulam Po Radha Puram Taluk Tirunelveli Distt Tamil Nadu ,627124",Tamil Nadu,"04637 ,258271",aecskud@yahoo.co.in,,3/31/2023,Senior Secondary,1980008 Affiliation No Senior Secondary
1980004,Atomic Energy Central School,Principal Sh B P Sharma,"Kalpakkam Tamil Nadu ,603102",Tamil Nadu,"04114 ,81061",aecs1kpm@yahoo.co.in,,3/31/2019,Secondary School,1980004 Affiliation No Secondary School
1930973,Atomic Energy Central School No-2,Principal G Ramchander Goud,"Dae Township, Sadras(East), Kalpakkam, Kancheepuram, Tamilnadu ,600089",Tamil Nadu,"044 ,27481598",grgoud2000@yahoo.com,,3/31/2024,Secondary School,1930973 Affiliation No Secondary School
1930270,Aurobindo International School,Principal L Sweety Irin,"Near Vekkaliamman Kovil, Fathima Nagar, Woraiyur, Trichy ,620003",Tamil Nadu,"0431 ,2760795",sweety_kingsley@yahoo.com,www.aurobindoedu.com,3/31/2021,Senior Secondary,1930270 Affiliation No Senior Secondary
1930624,Aurobindo Vidhyalaya School,Principal Hariharanpillai,"Yernam Medu Alangium Road Dharapuram ,638657",Tamil Nadu,"4258 ,225577",hariharanpillai2016@gmail.com,www.aurobindovidhyalaya.com,3/31/2023,Secondary School,1930624 Affiliation No Secondary School
1930525,Avatar Public School,Principal Mrs. Remya.B,"Golf Club Road Mayiladum Parai Chettipalayam Coimbate Pin 641 201 ,641201",Tamil Nadu,"0422 ,04222655444,",avatarpublicschool@gmail.com,www.avatarpublicschool.com,3/31/2021,Senior Secondary,1930525 Affiliation No Senior Secondary
1930319,Avk International Residential School,Principal S.Subramanian,"No. 188, Rajapalayam Main Road, Sankarankovil - 627 756 ,627756",Tamil Nadu,"4636 ,222415",avkschools@gmail.com,avkirs.ac.in,3/31/2023,Senior Secondary,1930319 Affiliation No Senior Secondary
1930358,Avp Trust Public School,Principal Mrs. C.Karpagam,"A.V.P Layout, Gandh Inagar,Angeripalayam(Post),Tirupur-641603 ,641603",Tamil Nadu,"0421 ,0421-4244333",avptrustpublicschool@gmail.com,www.avppublicschool.org,3/31/2021,Senior Secondary,1930358 Affiliation No Senior Secondary
1931001,Avvai Vidhyashram Public School (Cbse),Principal Mrs. Sharmila S,"Jadayampatti(Vill) Polayampalli(Po) Morappur-Harur(Tk) Dharmapuri (Dt) ,635305",Tamil Nadu,",8667361235",balaamudha2009@gmail.com,,3/31/2022,Middle Class,1931001 Affiliation No Middle Class
1930044,B V Bhavan'S Rajaji Vidyashram,Principal J Ajeeth Prasath Jain,"485 Kilpauk Garden Road Kilpauk Chennai Tamil Nadu ,600010",Tamil Nadu,"044 ,26442823",apjm41@gmail.com,www.bvbchennai.org,3/31/2020,Senior Secondary,1930044 Affiliation No Senior Secondary
1930557,B.V.M. Global,Principal N Madhusudan,"Survey No. 3/6, 3/5B, 3Rd North Main Raod, Morais City, Gundur Village, Thiruverumber, Trichy District. ,620007",Tamil Nadu,"0431 ,2904410",principal_trichy@bvmglobal.org,trichy.bvmglobal.org,3/31/2020,Senior Secondary,1930557 Affiliation No Senior Secondary
1930606,B.V.M. Global,Principal Debjani Ghosh,"No. 144, Corporation Road, Seevaram, Perungudi Village, Chennai-600096, Sholinganalur Taluk, Kancheepuram Dist. ,600096",Tamil Nadu,"0 ,9677015266",principal_perungudi@bvmglobal.org,www.bvmglobal.org,3/31/2020,Senior Secondary,1930606 Affiliation No Senior Secondary
1930646,B.V.M. Global Bollineni Hill Side,Principal P G Subramanian,"Perumbakkam Road, Nookampalyam Village, Chennai-600125, Sholinganallur Taluk, Kancheepuram District. ,600126",Tamil Nadu,"044 ,49578110",principal_bollinenihillside@bvmglobal.org,www.bvmglobal.org,3/31/2020,Senior Secondary,1930646 Affiliation No Senior Secondary
1930577,B.V.M. Global Karpagam Campus,Principal R Rajendran,"635/680/6,681/1, Kathiravan Gardens, Singanallur, Coimbatore-641005 ,641005",Tamil Nadu,"0422 ,2314973",principal_coimbatore1@bvmglobal.org,http://coimbatorekarpagam.bvmglobal.org/,3/31/2020,Senior Secondary,1930577 Affiliation No Senior Secondary
1930692,Babaji Vidhyashram,Principal Fatima Magdalene Majella Philip,",600119",Tamil Nadu,"044 ,42105757",info@babajividhyashram.org,https://www.babajividhyashram.org,3/31/2021,Senior Secondary,1930692 Affiliation No Senior Secondary
1930021,Bala Vidya Mandir Sr Sec School,Principal Srinivasa Raghavan R,"Iv-Main Road Gandhi Nagar Adyar. Chennai Tamil Nadu ,600020",Tamil Nadu,"044 ,24424445",bvmadyarprincipal@gmail.com,www.balavidyamandir.org,3/31/2017,Senior Secondary,1930021 Affiliation No Senior Secondary
